phase duration (us),pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,400,3.65,1*threshold,1,141
50,400,3.65,1*threshold,1,144
50,400,3.65,1*threshold,1,146
50,400,3.65,1*threshold,1,149
50,400,3.65,1*threshold,1,151
50,400,3.65,1*threshold,1,154
50,400,3.65,1*threshold,1,156
50,400,3.65,1*threshold,1,159
50,400,3.65,1*threshold,1,161
50,400,3.65,1*threshold,1,164
50,400,3.65,1*threshold,1,166
50,400,3.65,1*threshold,1,169
50,400,3.65,1*threshold,1,171
50,400,3.65,1*threshold,1,174
50,400,3.65,1*threshold,1,176
50,400,3.65,1*threshold,1,179
50,400,3.65,1*threshold,1,181
50,400,3.65,1*threshold,1,184
50,400,3.65,1*threshold,1,186
50,400,3.65,1*threshold,1,189
50,400,3.65,1*threshold,1,191
50,400,3.65,1*threshold,1,194
50,400,3.65,1*threshold,1,196
50,400,3.65,1*threshold,1,199
50,400,3.65,1*threshold,1,201
50,400,3.65,1*threshold,1,204
50,400,3.65,1*threshold,1,206
50,400,3.65,1*threshold,1,209
50,400,3.65,1*threshold,1,211
50,400,3.65,1*threshold,1,214
50,400,3.65,1*threshold,1,216
50,400,3.65,1*threshold,1,219
50,400,3.65,1*threshold,1,221
50,400,3.65,1*threshold,1,224
50,400,3.65,1*threshold,1,226
50,400,3.65,1*threshold,1,229
50,400,3.65,1*threshold,1,231
50,400,3.65,1*threshold,1,234
50,400,3.65,1*threshold,1,236
50,400,3.65,1*threshold,1,239
50,400,3.65,1*threshold,1,241
50,400,3.65,1*threshold,1,244
50,400,3.65,1*threshold,1,246
50,400,3.65,1*threshold,1,249
50,400,3.65,1*threshold,1,251
50,400,3.65,1*threshold,1,254
50,400,3.65,1*threshold,1,256
50,400,3.65,1*threshold,1,259
50,400,3.65,1*threshold,1,261
50,400,3.65,1*threshold,1,264
50,400,3.65,1*threshold,1,266
50,400,3.65,1*threshold,1,269
50,400,3.65,1*threshold,1,271
50,400,3.65,1*threshold,1,274
50,400,3.65,1*threshold,1,276
50,400,3.65,1*threshold,1,279
50,400,3.65,1*threshold,1,281
50,400,3.65,1*threshold,1,284
50,400,3.65,1*threshold,1,286
50,400,3.65,1*threshold,1,289
50,400,3.65,1*threshold,1,291
50,400,3.65,1*threshold,1,294
50,400,3.65,1*threshold,1,296
50,400,3.65,1*threshold,2,1
50,400,3.65,1*threshold,2,4
50,400,3.65,1*threshold,2,6
50,400,3.65,1*threshold,2,9
50,400,3.65,1*threshold,2,11
50,400,3.65,1*threshold,2,14
50,400,3.65,1*threshold,2,16
50,400,3.65,1*threshold,2,19
50,400,3.65,1*threshold,2,21
50,400,3.65,1*threshold,2,24
50,400,3.65,1*threshold,2,26
50,400,3.65,1*threshold,2,29
50,400,3.65,1*threshold,2,31
50,400,3.65,1*threshold,2,34
50,400,3.65,1*threshold,2,36
50,400,3.65,1*threshold,2,39
50,400,3.65,1*threshold,2,41
50,400,3.65,1*threshold,2,44
50,400,3.65,1*threshold,2,46
50,400,3.65,1*threshold,2,49
50,400,3.65,1*threshold,2,51
50,400,3.65,1*threshold,2,54
50,400,3.65,1*threshold,2,56
50,400,3.65,1*threshold,2,59
50,400,3.65,1*threshold,2,61
50,400,3.65,1*threshold,2,64
50,400,3.65,1*threshold,2,66
50,400,3.65,1*threshold,2,69
50,400,3.65,1*threshold,2,71
50,400,3.65,1*threshold,2,74
50,400,3.65,1*threshold,2,76
50,400,3.65,1*threshold,2,79
50,400,3.65,1*threshold,2,81
50,400,3.65,1*threshold,2,84
50,400,3.65,1*threshold,2,86
50,400,3.65,1*threshold,2,89
50,400,3.65,1*threshold,2,91
50,400,3.65,1*threshold,2,94
50,400,3.65,1*threshold,2,96
50,400,3.65,1*threshold,2,99
50,400,3.65,1*threshold,2,101
50,400,3.65,1*threshold,2,104
50,400,3.65,1*threshold,2,106
50,400,3.65,1*threshold,2,109
50,400,3.65,1*threshold,2,111
50,400,3.65,1*threshold,2,114
50,400,3.65,1*threshold,2,116
50,400,3.65,1*threshold,2,119
50,400,3.65,1*threshold,2,121
50,400,3.65,1*threshold,2,124
50,400,3.65,1*threshold,2,126
50,400,3.65,1*threshold,2,129
50,400,3.65,1*threshold,2,131
50,400,3.65,1*threshold,2,134
50,400,3.65,1*threshold,2,136
50,400,3.65,1*threshold,2,139
50,400,3.65,1*threshold,2,141
50,400,3.65,1*threshold,2,144
50,400,3.65,1*threshold,2,146
50,400,3.65,1*threshold,2,149
50,400,3.65,1*threshold,2,151
50,400,3.65,1*threshold,2,154
50,400,3.65,1*threshold,2,156
50,400,3.65,1*threshold,2,159
50,400,3.65,1*threshold,2,161
50,400,3.65,1*threshold,2,164
50,400,3.65,1*threshold,2,166
50,400,3.65,1*threshold,2,169
50,400,3.65,1*threshold,2,171
50,400,3.65,1*threshold,2,174
50,400,3.65,1*threshold,2,176
50,400,3.65,1*threshold,2,179
50,400,3.65,1*threshold,2,181
50,400,3.65,1*threshold,2,184
50,400,3.65,1*threshold,2,186
50,400,3.65,1*threshold,2,189
50,400,3.65,1*threshold,2,191
50,400,3.65,1*threshold,2,194
50,400,3.65,1*threshold,2,196
50,400,3.65,1*threshold,2,199
50,400,3.65,1*threshold,2,201
50,400,3.65,1*threshold,2,204
50,400,3.65,1*threshold,2,206
50,400,3.65,1*threshold,2,209
50,400,3.65,1*threshold,2,211
50,400,3.65,1*threshold,2,214
50,400,3.65,1*threshold,2,216
50,400,3.65,1*threshold,2,219
50,400,3.65,1*threshold,2,221
50,400,3.65,1*threshold,2,224
50,400,3.65,1*threshold,2,226
50,400,3.65,1*threshold,2,229
50,400,3.65,1*threshold,2,231
50,400,3.65,1*threshold,2,234
50,400,3.65,1*threshold,2,236
50,400,3.65,1*threshold,2,239
50,400,3.65,1*threshold,2,241
50,400,3.65,1*threshold,2,244
50,400,3.65,1*threshold,2,246
50,400,3.65,1*threshold,2,249
50,400,3.65,1*threshold,2,251
50,400,3.65,1*threshold,2,254
50,400,3.65,1*threshold,2,256
50,400,3.65,1*threshold,2,259
50,400,3.65,1*threshold,2,261
50,400,3.65,1*threshold,2,264
50,400,3.65,1*threshold,2,266
50,400,3.65,1*threshold,2,269
50,400,3.65,1*threshold,2,271
50,400,3.65,1*threshold,2,274
50,400,3.65,1*threshold,2,276
50,400,3.65,1*threshold,2,279
50,400,3.65,1*threshold,2,281
50,400,3.65,1*threshold,2,284
50,400,3.65,1*threshold,2,286
50,400,3.65,1*threshold,2,289
50,400,3.65,1*threshold,2,291
50,400,3.65,1*threshold,2,294
50,400,3.65,1*threshold,2,296
50,400,3.65,1*threshold,3,1
50,400,3.65,1*threshold,3,4
50,400,3.65,1*threshold,3,6
50,400,3.65,1*threshold,3,9
50,400,3.65,1*threshold,3,11
50,400,3.65,1*threshold,3,14
50,400,3.65,1*threshold,3,16
50,400,3.65,1*threshold,3,19
50,400,3.65,1*threshold,3,21
50,400,3.65,1*threshold,3,24
50,400,3.65,1*threshold,3,26
50,400,3.65,1*threshold,3,29
50,400,3.65,1*threshold,3,31
50,400,3.65,1*threshold,3,34
50,400,3.65,1*threshold,3,36
50,400,3.65,1*threshold,3,39
50,400,3.65,1*threshold,3,41
50,400,3.65,1*threshold,3,44
50,400,3.65,1*threshold,3,46
50,400,3.65,1*threshold,3,49
50,400,3.65,1*threshold,3,51
50,400,3.65,1*threshold,3,54
50,400,3.65,1*threshold,3,56
50,400,3.65,1*threshold,3,59
50,400,3.65,1*threshold,3,61
50,400,3.65,1*threshold,3,64
50,400,3.65,1*threshold,3,66
50,400,3.65,1*threshold,3,69
50,400,3.65,1*threshold,3,71
50,400,3.65,1*threshold,3,74
50,400,3.65,1*threshold,3,76
50,400,3.65,1*threshold,3,79
50,400,3.65,1*threshold,3,81
50,400,3.65,1*threshold,3,84
50,400,3.65,1*threshold,3,86
50,400,3.65,1*threshold,3,89
50,400,3.65,1*threshold,3,91
50,400,3.65,1*threshold,3,94
50,400,3.65,1*threshold,3,96
50,400,3.65,1*threshold,3,99
50,400,3.65,1*threshold,3,101
50,400,3.65,1*threshold,3,104
50,400,3.65,1*threshold,3,106
50,400,3.65,1*threshold,3,109
50,400,3.65,1*threshold,3,111
50,400,3.65,1*threshold,3,114
50,400,3.65,1*threshold,3,116
50,400,3.65,1*threshold,3,119
50,400,3.65,1*threshold,3,121
50,400,3.65,1*threshold,3,124
50,400,3.65,1*threshold,3,126
50,400,3.65,1*threshold,3,129
50,400,3.65,1*threshold,3,131
50,400,3.65,1*threshold,3,134
50,400,3.65,1*threshold,3,136
50,400,3.65,1*threshold,3,139
50,400,3.65,1*threshold,3,141
50,400,3.65,1*threshold,3,144
50,400,3.65,1*threshold,3,146
50,400,3.65,1*threshold,3,149
50,400,3.65,1*threshold,3,151
50,400,3.65,1*threshold,3,154
50,400,3.65,1*threshold,3,156
50,400,3.65,1*threshold,3,159
50,400,3.65,1*threshold,3,161
50,400,3.65,1*threshold,3,164
50,400,3.65,1*threshold,3,166
50,400,3.65,1*threshold,3,169
50,400,3.65,1*threshold,3,171
50,400,3.65,1*threshold,3,174
50,400,3.65,1*threshold,3,176
50,400,3.65,1*threshold,3,179
50,400,3.65,1*threshold,3,181
50,400,3.65,1*threshold,3,184
50,400,3.65,1*threshold,3,186
50,400,3.65,1*threshold,3,189
50,400,3.65,1*threshold,3,191
50,400,3.65,1*threshold,3,194
50,400,3.65,1*threshold,3,196
50,400,3.65,1*threshold,3,199
50,400,3.65,1*threshold,3,201
50,400,3.65,1*threshold,3,204
50,400,3.65,1*threshold,3,206
50,400,3.65,1*threshold,3,209
50,400,3.65,1*threshold,3,211
50,400,3.65,1*threshold,3,214
50,400,3.65,1*threshold,3,216
50,400,3.65,1*threshold,3,219
50,400,3.65,1*threshold,3,221
