phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us),jitter (us)
40,3.17,1*threshold,monophasic,82.5,144,508,652,239,29.5
40,6.33,2*threshold,monophasic,82.4,143,505,649,40,0
50,2.69,1*threshold,monophasic,82.7,145,510,655,243,24.4
50,5.39,2*threshold,monophasic,82.5,143,505,648,49.9,0.221
100,1.7,1*threshold,monophasic,82.4,144,506,650,289,21.2
100,3.4,2*threshold,monophasic,82.5,143,506,649,97.1,3.53
200,1.2,1*threshold,biphasic,82.5,143,510,653,377,63.9
200,2.41,2*threshold,biphasic,82.4,142,510,652,191,5.44
