phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us),jitter (us)
40,332.54,1*threshold,monophasic,87.9,104,193,297,284,45
40,665.08,2*threshold,monophasic,88,104,193,296,88.7,2.83
50,272.23,1*threshold,monophasic,87.9,104,193,297,298,53.2
50,544.47,2*threshold,monophasic,88,104,192,296,96.1,3.12
100,152.67,1*threshold,monophasic,87.9,104,193,297,330,55.2
100,305.33,2*threshold,monophasic,88,104,192,297,123,5.03
200,83.86,1*threshold,biphasic,87.7,104,193,297,769,54.5
200,167.71,2*threshold,biphasic,87.8,104,192,297,194,3.24
