phase duration (us),pulse form,absolute refractory period (us),relative refractory period (ms)
40,monophasic,924.7,2.09
50,monophasic,1056,2.122
100,monophasic,1318,2.3
50,biphasic,404.1,2.035
200,biphasic,338.7,1.816
