phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us),jitter (us)
40,124.9,1*threshold,monophasic,108,78.6,211,289,113,8.42
40,249.81,2*threshold,monophasic,109,78.2,213,291,38.9,1.34
50,112.44,1*threshold,monophasic,108,77.7,212,289,125,13.8
50,224.88,2*threshold,monophasic,109,78.9,211,290,45.8,3.15
200,77.64,1*threshold,biphasic,108,79.8,211,291,222,22.7
200,155.28,2*threshold,biphasic,109,79,211,290,137,4.62
