phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us)
40,124.9,1*threshold,monophasic,107,78,212,290,116
40,249.81,2*threshold,monophasic,107,77,213,290,40
50,112.44,1*threshold,monophasic,107,78,212,290,124
50,224.88,2*threshold,monophasic,107,78,212,290,46
100,87.97,1*threshold,monophasic,107,78,212,290,170
100,175.94,2*threshold,monophasic,107,77,213,290,55
200,77.64,1*threshold,biphasic,107,78,212,290,249
200,155.28,2*threshold,biphasic,107,78,212,290,137
