phase duration (us),pulse form,threshold
40,mono,0.00012490486145019534
50,mono,0.00011244049072265624
100,mono,8.796775817871091e-05
50,bi,0.00012041954040527343
200,bi,7.763755798339842e-05
400,bi,7.397361755371093e-05
