model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,5,3946,724.853515625,20.0,250
briaire_05,1,1946,724.853515625,2.0,500
briaire_05,10,1946,724.853515625,20.0,500
briaire_05,2,946,724.853515625,2.0,1000
briaire_05,20,946,724.853515625,20.0,1000
briaire_05,1,446,724.853515625,0.5,2000
briaire_05,4,446,724.853515625,2.0,2000
briaire_05,40,446,724.853515625,20.0,2000
briaire_05,1,279,724.853515625,0.5,3000
briaire_05,6,279,724.853515625,2.0,3000
briaire_05,60,279,724.853515625,20.0,3000
briaire_05,2,146,724.8443603515624,0.5,5000
briaire_05,10,146,724.8443603515624,2.0,5000
briaire_05,100,146,724.8443603515624,20.0,5000
briaire_05,5,46,716.815185546875,0.5,10000
briaire_05,20,46,716.815185546875,2.0,10000
briaire_05,200,46,716.815185546875,20.0,10000
frijns_94,5,3946,176.80053710937506,20.0,250
frijns_94,1,1946,176.80053710937506,2.0,500
frijns_94,10,1946,176.80053710937506,20.0,500
frijns_94,2,946,176.80053710937506,2.0,1000
frijns_94,20,946,176.80053710937506,20.0,1000
frijns_94,1,446,176.80053710937506,0.5,2000
frijns_94,4,446,176.80053710937506,2.0,2000
frijns_94,40,446,176.80053710937506,20.0,2000
frijns_94,1,279,176.80053710937506,0.5,3000
frijns_94,6,279,176.80053710937506,2.0,3000
frijns_94,60,279,176.80053710937506,20.0,3000
frijns_94,2,146,176.80053710937506,0.5,5000
frijns_94,10,146,176.80053710937506,2.0,5000
frijns_94,100,146,176.80053710937506,20.0,5000
frijns_94,5,46,174.04174804687503,0.5,10000
frijns_94,20,46,174.04174804687503,2.0,10000
frijns_94,200,46,174.04174804687503,20.0,10000
imennov_09,5,3946,53.07006835937499,20.0,250
imennov_09,1,1946,53.07006835937499,2.0,500
imennov_09,10,1946,53.07006835937499,20.0,500
imennov_09,2,946,53.07006835937499,2.0,1000
imennov_09,20,946,53.07006835937499,20.0,1000
imennov_09,1,446,53.07006835937499,0.5,2000
imennov_09,4,446,52.38342285156251,2.0,2000
imennov_09,40,446,52.38342285156251,20.0,2000
imennov_09,1,279,53.07006835937499,0.5,3000
imennov_09,6,279,49.26147460937499,2.0,3000
imennov_09,60,279,49.25842285156249,20.0,3000
imennov_09,2,146,47.78747558593749,0.5,5000
imennov_09,10,146,43.1182861328125,2.0,5000
imennov_09,100,146,43.10913085937499,20.0,5000
imennov_09,5,46,37.8387451171875,0.5,10000
imennov_09,20,46,34.4818115234375,2.0,10000
imennov_09,200,46,34.466552734375,20.0,10000
negm_14,6,279,996.2890625,2.0,3000
negm_14,60,279,996.2890625,20.0,3000
negm_14,2,146,966.0491943359375,0.5,5000
negm_14,10,146,938.8702392578125,2.0,5000
negm_14,100,146,938.8702392578125,20.0,5000
negm_14,5,46,857.3181152343751,0.5,10000
negm_14,20,46,846.868896484375,2.0,10000
negm_14,200,46,846.868896484375,20.0,10000
rattay_01,5,3946,944.9371337890625,20.0,250
rattay_01,1,1946,944.9371337890625,2.0,500
rattay_01,10,1946,944.9371337890625,20.0,500
rattay_01,2,946,944.9371337890625,2.0,1000
rattay_01,20,946,944.9371337890625,20.0,1000
rattay_01,1,446,944.9371337890625,0.5,2000
rattay_01,4,446,945.1568603515624,2.0,2000
rattay_01,40,446,945.1568603515624,20.0,2000
rattay_01,1,279,944.9371337890625,0.5,3000
rattay_01,6,279,948.0010986328126,2.0,3000
rattay_01,60,279,948.0010986328126,20.0,3000
rattay_01,2,146,896.25244140625,0.5,5000
rattay_01,10,146,895.81298828125,2.0,5000
rattay_01,100,146,895.81298828125,20.0,5000
rattay_01,5,46,811.1602783203124,0.5,10000
rattay_01,20,46,847.9156494140626,2.0,10000
rattay_01,200,46,847.9156494140626,20.0,10000
smit_09,5,3946,471.91162109375,20.0,250
smit_09,1,1946,471.91162109375,2.0,500
smit_09,10,1946,471.91162109375,20.0,500
smit_09,2,946,471.91162109375,2.0,1000
smit_09,20,946,471.91162109375,20.0,1000
smit_09,1,446,471.91162109375,0.5,2000
smit_09,4,446,471.9146728515625,2.0,2000
smit_09,40,446,471.9146728515625,20.0,2000
smit_09,1,279,471.91162109375,0.5,3000
smit_09,6,279,471.78344726562494,2.0,3000
smit_09,60,279,471.78344726562494,20.0,3000
smit_09,2,146,451.019287109375,0.5,5000
smit_09,10,146,447.20458984375,2.0,5000
smit_09,100,146,447.20458984375,20.0,5000
smit_09,5,46,350.65612792968756,0.5,10000
smit_09,20,46,349.58801269531256,2.0,10000
smit_09,200,46,349.58801269531256,20.0,10000
smit_10,5,3946,664.385986328125,20.0,250
smit_10,1,1946,664.385986328125,2.0,500
smit_10,10,1946,664.385986328125,20.0,500
smit_10,2,946,664.385986328125,2.0,1000
smit_10,20,946,664.385986328125,20.0,1000
smit_10,1,446,664.385986328125,0.5,2000
smit_10,4,446,664.5751953125,2.0,2000
smit_10,40,446,664.5751953125,20.0,2000
smit_10,1,279,664.385986328125,0.5,3000
smit_10,6,279,668.8415527343751,2.0,3000
smit_10,60,279,668.8415527343751,20.0,3000
smit_10,2,146,708.9263916015624,0.5,5000
smit_10,10,146,706.4727783203125,2.0,5000
smit_10,100,146,706.4727783203125,20.0,5000
smit_10,5,46,706.4239501953126,0.5,10000
smit_10,20,46,705.9326171875001,2.0,10000
smit_10,200,46,705.9326171875001,20.0,10000
