pulse rate,stimulus amplitude (uA),amplitude,run,spike times (us)
50,1241.86,1*threshold,0,0.0014299999999999998
50,1241.86,1*threshold,0,0.021429999999999998
50,1241.86,1*threshold,0,0.041429999999999995
50,1241.86,1*threshold,0,0.06142999999999999
50,1862.8,1.5*threshold,0,0.0007899999999999999
50,1862.8,1.5*threshold,0,0.02079
50,1862.8,1.5*threshold,0,0.04079
50,1862.8,1.5*threshold,0,0.06079
50,2483.73,2*threshold,0,0.000775
50,2483.73,2*threshold,0,0.020775
50,2483.73,2*threshold,0,0.040775
50,2483.73,2*threshold,0,0.060774999999999996
50,3725.59,3*threshold,0,0.0007549999999999999
50,3725.59,3*threshold,0,0.020755
50,3725.59,3*threshold,0,0.040755
50,3725.59,3*threshold,0,0.060754999999999997
100,1241.86,1*threshold,0,0.0014299999999999998
100,1241.86,1*threshold,0,0.011434999999999999
100,1241.86,1*threshold,0,0.021439999999999997
100,1241.86,1*threshold,0,0.031439999999999996
100,1241.86,1*threshold,0,0.04144
100,1241.86,1*threshold,0,0.05143999999999999
100,1241.86,1*threshold,0,0.061439999999999995
100,1241.86,1*threshold,0,0.07143999999999999
100,1241.86,1*threshold,0,0.08144
100,1862.8,1.5*threshold,0,0.0007899999999999999
100,1862.8,1.5*threshold,0,0.01079
100,1862.8,1.5*threshold,0,0.02079
100,1862.8,1.5*threshold,0,0.030789999999999998
100,1862.8,1.5*threshold,0,0.04079
100,1862.8,1.5*threshold,0,0.050789999999999995
100,1862.8,1.5*threshold,0,0.06079
100,1862.8,1.5*threshold,0,0.07078999999999999
100,1862.8,1.5*threshold,0,0.08078999999999999
100,2483.73,2*threshold,0,0.000775
100,2483.73,2*threshold,0,0.010775
100,2483.73,2*threshold,0,0.020775
100,2483.73,2*threshold,0,0.030774999999999997
100,2483.73,2*threshold,0,0.040775
100,2483.73,2*threshold,0,0.050774999999999994
100,2483.73,2*threshold,0,0.060774999999999996
100,2483.73,2*threshold,0,0.07077499999999999
100,2483.73,2*threshold,0,0.080775
100,3725.59,3*threshold,0,0.0007549999999999999
100,3725.59,3*threshold,0,0.010754999999999999
100,3725.59,3*threshold,0,0.020755
100,3725.59,3*threshold,0,0.030754999999999998
100,3725.59,3*threshold,0,0.040755
100,3725.59,3*threshold,0,0.050754999999999995
100,3725.59,3*threshold,0,0.060754999999999997
100,3725.59,3*threshold,0,0.070755
100,3725.59,3*threshold,0,0.080755
200,1241.77,1*threshold,0,0.02635
200,1241.77,1*threshold,0,0.031235
200,1241.77,1*threshold,0,0.036164999999999996
200,1241.77,1*threshold,0,0.041155
200,1241.77,1*threshold,0,0.04615
200,1241.77,1*threshold,0,0.051149999999999994
200,1241.77,1*threshold,0,0.05615
200,1241.77,1*threshold,0,0.061149999999999996
200,1241.77,1*threshold,0,0.06615
200,1241.77,1*threshold,0,0.07114999999999999
200,1241.77,1*threshold,0,0.07615
200,1241.77,1*threshold,0,0.08114999999999999
200,1241.77,1*threshold,0,0.08614999999999999
200,1241.77,1*threshold,0,0.09115
200,1862.65,1.5*threshold,0,0.0007899999999999999
200,1862.65,1.5*threshold,0,0.005789999999999999
200,1862.65,1.5*threshold,0,0.01079
200,1862.65,1.5*threshold,0,0.01579
200,1862.65,1.5*threshold,0,0.02079
200,1862.65,1.5*threshold,0,0.025789999999999997
200,1862.65,1.5*threshold,0,0.030789999999999998
200,1862.65,1.5*threshold,0,0.035789999999999995
200,1862.65,1.5*threshold,0,0.04079
200,1862.65,1.5*threshold,0,0.04579
200,1862.65,1.5*threshold,0,0.050789999999999995
200,1862.65,1.5*threshold,0,0.05578999999999999
200,1862.65,1.5*threshold,0,0.06079
200,1862.65,1.5*threshold,0,0.06578999999999999
200,1862.65,1.5*threshold,0,0.07078999999999999
200,1862.65,1.5*threshold,0,0.07579
200,1862.65,1.5*threshold,0,0.08078999999999999
200,1862.65,1.5*threshold,0,0.08578999999999999
200,1862.65,1.5*threshold,0,0.09079
200,2483.53,2*threshold,0,0.000775
200,2483.53,2*threshold,0,0.005775
200,2483.53,2*threshold,0,0.010775
200,2483.53,2*threshold,0,0.015774999999999997
200,2483.53,2*threshold,0,0.020775
200,2483.53,2*threshold,0,0.025775
200,2483.53,2*threshold,0,0.030774999999999997
200,2483.53,2*threshold,0,0.035774999999999994
200,2483.53,2*threshold,0,0.040775
200,2483.53,2*threshold,0,0.045774999999999996
200,2483.53,2*threshold,0,0.050774999999999994
200,2483.53,2*threshold,0,0.055775
200,2483.53,2*threshold,0,0.060774999999999996
200,2483.53,2*threshold,0,0.065775
200,2483.53,2*threshold,0,0.07077499999999999
200,2483.53,2*threshold,0,0.075775
200,2483.53,2*threshold,0,0.080775
200,2483.53,2*threshold,0,0.08577499999999999
200,2483.53,2*threshold,0,0.090775
200,3725.3,3*threshold,0,0.0007549999999999999
200,3725.3,3*threshold,0,0.005755
200,3725.3,3*threshold,0,0.010754999999999999
200,3725.3,3*threshold,0,0.015754999999999998
200,3725.3,3*threshold,0,0.020755
200,3725.3,3*threshold,0,0.025754999999999997
200,3725.3,3*threshold,0,0.030754999999999998
200,3725.3,3*threshold,0,0.035754999999999995
200,3725.3,3*threshold,0,0.040755
200,3725.3,3*threshold,0,0.045755
200,3725.3,3*threshold,0,0.050754999999999995
200,3725.3,3*threshold,0,0.05575499999999999
200,3725.3,3*threshold,0,0.060754999999999997
200,3725.3,3*threshold,0,0.065755
200,3725.3,3*threshold,0,0.070755
200,3725.3,3*threshold,0,0.07575499999999999
200,3725.3,3*threshold,0,0.080755
200,3725.3,3*threshold,0,0.085755
200,3725.3,3*threshold,0,0.09075499999999999
500,1241.86,1*threshold,0,0.0014299999999999998
500,1862.8,1.5*threshold,0,0.0007899999999999999
500,1862.8,1.5*threshold,0,0.00273
500,1862.8,1.5*threshold,0,0.00473
500,1862.8,1.5*threshold,0,0.006729999999999999
500,1862.8,1.5*threshold,0,0.00873
500,1862.8,1.5*threshold,0,0.010729999999999998
500,1862.8,1.5*threshold,0,0.012729999999999998
500,1862.8,1.5*threshold,0,0.014729999999999998
500,1862.8,1.5*threshold,0,0.01673
500,1862.8,1.5*threshold,0,0.018729999999999997
500,1862.8,1.5*threshold,0,0.02073
500,1862.8,1.5*threshold,0,0.022729999999999997
500,1862.8,1.5*threshold,0,0.02473
500,1862.8,1.5*threshold,0,0.026729999999999997
500,1862.8,1.5*threshold,0,0.02873
500,1862.8,1.5*threshold,0,0.030729999999999997
500,1862.8,1.5*threshold,0,0.032729999999999995
500,1862.8,1.5*threshold,0,0.03473
500,1862.8,1.5*threshold,0,0.03673
