measurement_node,electrode distance (um),model,stimulus amplitude (uA),latency (ms),amplitude level
59,200,rattay_01,0.9314537048339843,2.86,1.0
59,200,rattay_01,1.127549221641139,2.6020000000000003,1.2105263157894737
59,200,rattay_01,1.3236447384482934,2.588,1.4210526315789473
59,200,rattay_01,1.519740255255448,2.5799999999999996,1.631578947368421
59,200,rattay_01,1.7158357720626025,2.575,1.8421052631578947
59,200,rattay_01,1.911931288869757,2.5699999999999994,2.052631578947368
59,200,rattay_01,2.1080268056769116,2.5669999999999997,2.263157894736842
59,200,rattay_01,2.3041223224840666,2.5639999999999996,2.473684210526316
59,200,rattay_01,2.5002178392912207,2.562,2.6842105263157894
59,200,rattay_01,2.696313356098375,2.5589999999999997,2.894736842105263
59,200,rattay_01,2.8924088729055297,2.5579999999999994,3.1052631578947367
59,200,rattay_01,3.088504389712685,2.556,3.3157894736842106
59,200,rattay_01,3.2845999065198392,2.555,3.526315789473684
59,200,rattay_01,3.4806954233269938,2.553,3.7368421052631575
59,200,rattay_01,3.6767909401341483,2.5519999999999996,3.9473684210526314
59,200,rattay_01,3.8728864569413033,2.5509999999999993,4.157894736842105
59,200,rattay_01,4.068981973748458,2.5500000000000003,4.368421052631579
59,200,rattay_01,4.265077490555612,2.549,4.578947368421052
59,200,rattay_01,4.461173007362766,2.548,4.789473684210526
59,200,rattay_01,4.657268524169922,2.5469999999999997,5.0
59,300,rattay_01,2.523612976074219,2.8609999999999998,1.0
59,300,rattay_01,3.0548999184056336,2.6039999999999996,1.2105263157894737
59,300,rattay_01,3.586186860737048,2.5899999999999994,1.4210526315789473
59,300,rattay_01,4.117473803068462,2.5829999999999993,1.6315789473684208
59,300,rattay_01,4.648760745399877,2.5769999999999995,1.8421052631578947
59,300,rattay_01,5.1800476877312915,2.573,2.052631578947368
59,300,rattay_01,5.711334630062706,2.5699999999999994,2.263157894736842
59,300,rattay_01,6.242621572394121,2.568,2.473684210526316
59,300,rattay_01,6.773908514725536,2.5649999999999995,2.6842105263157894
59,300,rattay_01,7.305195457056949,2.5639999999999996,2.894736842105263
59,300,rattay_01,7.836482399388363,2.562,3.1052631578947363
59,300,rattay_01,8.367769341719779,2.561,3.3157894736842106
59,300,rattay_01,8.899056284051193,2.5589999999999997,3.526315789473684
59,300,rattay_01,9.430343226382607,2.5579999999999994,3.7368421052631575
59,300,rattay_01,9.961630168714022,2.5569999999999995,3.947368421052631
59,300,rattay_01,10.492917111045438,2.556,4.157894736842105
59,300,rattay_01,11.02420405337685,2.556,4.368421052631579
59,300,rattay_01,11.555490995708265,2.555,4.578947368421052
59,300,rattay_01,12.08677793803968,2.554,4.789473684210526
59,300,rattay_01,12.618064880371096,2.554,5.0
59,500,rattay_01,10.10236740112305,2.948,1.0
59,500,rattay_01,12.229181590833166,2.614,1.2105263157894737
59,500,rattay_01,14.355995780543282,2.601,1.4210526315789473
59,500,rattay_01,16.482809970253395,2.594,1.631578947368421
59,500,rattay_01,18.609624159963513,2.5899999999999994,1.8421052631578945
59,500,rattay_01,20.736438349673627,2.5869999999999997,2.052631578947368
59,500,rattay_01,22.863252539383744,2.5839999999999996,2.263157894736842
59,500,rattay_01,24.99006672909386,2.5820000000000003,2.473684210526316
59,500,rattay_01,27.116880918803975,2.5799999999999996,2.6842105263157894
59,500,rattay_01,29.24369510851409,2.5769999999999995,2.894736842105263
59,500,rattay_01,31.370509298224206,2.575,3.1052631578947367
59,500,rattay_01,33.497323487934324,2.5719999999999996,3.3157894736842106
59,500,rattay_01,35.62413767764444,2.569,3.5263157894736845
59,500,rattay_01,37.75095186735455,2.566,3.7368421052631575
59,500,rattay_01,39.87776605706467,2.561,3.9473684210526314
59,500,rattay_01,42.004580246774786,2.5569999999999995,4.157894736842105
59,500,rattay_01,44.1313944364849,2.5509999999999993,4.368421052631579
