model,electrode distance,stimulus amplitude (uA),measurement_node,latency (ms),amplitude level
rattay_01,0.0017967895507812503,213.07428571428574,70,2.6689999999999996,1.1285714285714286
rattay_01,0.0017967895507812503,258.805188927056,70,2.588,1.3707901955882202
rattay_01,0.0017967895507812503,304.5360921398262,70,2.5669999999999997,1.6130089626050117
rattay_01,0.0017967895507812503,350.2669953525965,70,2.556,1.8552277296218032
rattay_01,0.0017967895507812503,395.9978985653667,70,2.548,2.097446496638595
rattay_01,0.0017967895507812503,441.728801778137,70,2.543,2.3396652636553865
rattay_01,0.0017967895507812503,487.45970499090726,70,2.5389999999999997,2.581884030672178
rattay_01,0.0017967895507812503,533.1906082036776,70,2.535,2.82410279768897
rattay_01,0.0017967895507812503,578.9215114164479,70,2.5329999999999995,3.066321564705762
rattay_01,0.0017967895507812503,624.652414629218,70,2.5300000000000002,3.308540331722553
rattay_01,0.0017967895507812503,670.3833178419883,70,2.528,3.5507590987393445
rattay_01,0.0017967895507812503,716.1142210547584,70,2.526,3.7929778657561357
rattay_01,0.0017967895507812503,761.845124267529,70,2.523999999999999,4.035196632772928
rattay_01,0.0017967895507812503,807.576027480299,70,2.522,4.277415399789719
rattay_01,0.0017967895507812503,853.3069306930693,70,2.521,4.519634166806511
briaire_05,0.0011840270996093753,213.07428571428574,120,2.3749999999999996,1.1285714285714286
briaire_05,0.0011840270996093753,258.805188927056,120,2.2569999999999997,1.3707901955882202
briaire_05,0.0011840270996093753,304.5360921398262,120,2.2439999999999993,1.6130089626050117
briaire_05,0.0011840270996093753,350.2669953525965,120,2.236999999999999,1.8552277296218032
briaire_05,0.0011840270996093753,395.9978985653667,120,2.2309999999999994,2.097446496638595
briaire_05,0.0011840270996093753,441.728801778137,120,2.227,2.3396652636553865
briaire_05,0.0011840270996093753,487.45970499090726,120,2.2230000000000003,2.581884030672178
briaire_05,0.0011840270996093753,533.1906082036776,120,2.2199999999999998,2.82410279768897
briaire_05,0.0011840270996093753,578.9215114164479,120,2.2179999999999995,3.066321564705762
briaire_05,0.0011840270996093753,624.652414629218,120,2.215,3.308540331722553
briaire_05,0.0011840270996093753,670.3833178419883,120,2.2129999999999996,3.5507590987393445
briaire_05,0.0011840270996093753,716.1142210547584,120,2.2109999999999994,3.7929778657561357
briaire_05,0.0011840270996093753,761.845124267529,120,2.209,4.035196632772928
briaire_05,0.0011840270996093753,807.576027480299,120,2.2079999999999997,4.277415399789719
briaire_05,0.0011840270996093753,853.3069306930693,120,2.2059999999999995,4.519634166806511
imennov_09,0.00295955810546875,213.07428571428574,800,2.11,1.1285714285714286
imennov_09,0.00295955810546875,258.805188927056,800,2.092,1.3707901955882202
imennov_09,0.00295955810546875,304.5360921398262,800,2.079999999999999,1.6130089626050117
imennov_09,0.00295955810546875,350.2669953525965,800,2.0709999999999997,1.8552277296218032
imennov_09,0.00295955810546875,395.9978985653667,800,2.0629999999999997,2.097446496638595
imennov_09,0.00295955810546875,441.728801778137,800,2.057,2.3396652636553865
imennov_09,0.00295955810546875,487.45970499090726,800,2.0509999999999997,2.581884030672178
imennov_09,0.00295955810546875,533.1906082036776,800,2.0460000000000003,2.82410279768897
imennov_09,0.00295955810546875,578.9215114164479,800,2.0409999999999995,3.066321564705762
imennov_09,0.00295955810546875,624.652414629218,800,2.037,3.308540331722553
imennov_09,0.00295955810546875,670.3833178419883,800,2.033,3.5507590987393445
imennov_09,0.00295955810546875,716.1142210547584,800,2.0289999999999995,3.7929778657561357
imennov_09,0.00295955810546875,761.845124267529,800,2.025,4.035196632772928
imennov_09,0.00295955810546875,807.576027480299,800,2.0219999999999994,4.277415399789719
imennov_09,0.00295955810546875,853.3069306930693,800,2.018,4.519634166806511
