Rattay et al. 2001,Frijns et al. 1994,Briaire and Frijns 2005,Smit et al. 2009,Smit et al. 2010,Imennov and Rubinstein 2009,Negm and Bruce 2014
5.364317331880244,8.211429400523997,7.300504042040245,6.067309020131859,8.224992442168627,7.525196503616598,8.115763117036295
5.272090794747953,8.22761808878306,7.416739290272972,6.059087312547092,8.250386289160815,7.373358737599574,7.994620410250263
5.216823919323417,8.281421450805027,7.333033974784826,5.98995461568893,8.322350840132344,7.371478610403983,8.056067445714234
5.318363850799074,8.297401132368435,7.283076709189572,6.00107722424184,8.3353577746758,7.44950808781266,8.068622309971829
5.298396713369698,8.280587290153562,7.1593372808229105,6.050487246859348,8.617703893496127,7.456479954018505,7.943052673419629
5.3049034463711,8.288663439503807,7.226440559988646,6.065981734307741,8.24674593370014,7.466957814237844,8.032526200482152
5.3436830525427865,8.242260687333442,7.242953022012841,6.070164667418112,8.36059579971186,7.317403726290877,7.959786271992357
5.311003829301228,8.174463673889818,7.3257182739033055,6.040864074734827,8.598929213910878,7.346058171042159,7.934626157934417
5.302304392126416,8.216071401912359,7.273547310158449,6.092193413303278,8.277084561869742,7.31988521426922,7.93556388886816
5.298635111631967,8.21273242664239,7.270339430606043,6.121683418304542,8.296131696611837,7.359838150439941,7.964099367754784
