model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,1,801,1577.7404785156252,1.0,1200
briaire_05,2,801,1577.7404785156252,2.0,1200
briaire_05,6,801,1577.7404785156252,5.0,1200
briaire_05,12,801,1577.7404785156252,10.0,1200
briaire_05,24,801,1577.7404785156252,20.0,1200
briaire_05,1,301,1577.7404785156252,0.5,3000
briaire_05,3,301,1577.7404785156252,1.0,3000
briaire_05,6,301,1577.7404785156252,2.0,3000
briaire_05,15,301,1577.7404785156252,5.0,3000
briaire_05,30,301,1577.7404785156252,10.0,3000
briaire_05,60,301,1577.7404785156252,20.0,3000
briaire_05,1,168,1577.7404785156252,0.2,5000
briaire_05,2,168,1577.7130126953127,0.5,5000
briaire_05,5,168,1577.7130126953127,1.0,5000
briaire_05,10,168,1577.7130126953127,2.0,5000
briaire_05,25,168,1577.7130126953127,5.0,5000
briaire_05,50,168,1577.7130126953127,10.0,5000
briaire_05,100,168,1577.7130126953127,20.0,5000
briaire_05,2,8,1363.39111328125,0.1,25000
briaire_05,5,8,1303.2562255859375,0.2,25000
briaire_05,12,8,1301.480102539063,0.5,25000
briaire_05,25,8,1301.480102539063,1.0,25000
briaire_05,50,8,1301.480102539063,2.0,25000
briaire_05,125,8,1301.480102539063,5.0,25000
briaire_05,250,8,1301.480102539063,10.0,25000
briaire_05,500,8,1301.480102539063,20.0,25000
imennov_09,1,801,81.414794921875,1.0,1200
imennov_09,2,801,81.40869140625,2.0,1200
imennov_09,6,801,81.40869140625,5.0,1200
imennov_09,12,801,81.40869140625,10.0,1200
imennov_09,24,801,81.40869140625,20.0,1200
imennov_09,1,301,81.414794921875,0.5,3000
imennov_09,3,301,76.39770507812501,1.0,3000
imennov_09,6,301,75.84228515625,2.0,3000
imennov_09,15,301,75.8392333984375,5.0,3000
imennov_09,30,301,75.8392333984375,10.0,3000
imennov_09,60,301,75.8392333984375,20.0,3000
imennov_09,1,168,81.414794921875,0.2,5000
imennov_09,2,168,73.5504150390625,0.5,5000
imennov_09,5,168,67.52929687499999,1.0,5000
imennov_09,10,168,66.56188964843753,2.0,5000
imennov_09,25,168,66.54663085937501,5.0,5000
imennov_09,50,168,66.54663085937501,10.0,5000
imennov_09,100,168,66.54663085937501,20.0,5000
imennov_09,2,8,66.41845703125,0.1,25000
imennov_09,5,8,51.76696777343751,0.2,25000
imennov_09,12,8,43.22509765625001,0.5,25000
imennov_09,25,8,39.7674560546875,1.0,25000
imennov_09,50,8,38.91601562500001,2.0,25000
imennov_09,125,8,38.891601562500014,5.0,25000
imennov_09,250,8,38.891601562500014,10.0,25000
imennov_09,500,8,38.891601562500014,20.0,25000
rattay_01,1,801,1710.9161376953125,1.0,1200
rattay_01,2,801,1710.9161376953125,2.0,1200
rattay_01,6,801,1710.9161376953125,5.0,1200
rattay_01,12,801,1710.9161376953125,10.0,1200
rattay_01,24,801,1710.9161376953125,20.0,1200
rattay_01,1,301,1710.9161376953125,0.5,3000
rattay_01,3,301,1710.5224609374998,1.0,3000
rattay_01,6,301,1710.5224609374998,2.0,3000
rattay_01,15,301,1710.5224609374998,5.0,3000
rattay_01,30,301,1710.5224609374998,10.0,3000
rattay_01,60,301,1710.5224609374998,20.0,3000
rattay_01,1,168,1710.9161376953125,0.2,5000
rattay_01,2,168,1682.2418212890625,0.5,5000
rattay_01,5,168,1680.7983398437502,1.0,5000
rattay_01,10,168,1680.7983398437502,2.0,5000
rattay_01,25,168,1680.7983398437502,5.0,5000
rattay_01,50,168,1680.7983398437502,10.0,5000
rattay_01,100,168,1680.7983398437502,20.0,5000
rattay_01,2,8,1483.673095703125,0.1,25000
rattay_01,5,8,1369.4549560546877,0.2,25000
rattay_01,12,8,1378.2257080078123,0.5,25000
rattay_01,25,8,1378.363037109375,1.0,25000
rattay_01,50,8,1378.363037109375,2.0,25000
rattay_01,125,8,1378.363037109375,5.0,25000
rattay_01,250,8,1378.363037109375,10.0,25000
rattay_01,500,8,1378.363037109375,20.0,25000
smit_10,1,801,1501.690673828125,1.0,1200
smit_10,2,801,1501.690673828125,2.0,1200
smit_10,6,801,1501.690673828125,5.0,1200
smit_10,12,801,1501.690673828125,10.0,1200
smit_10,24,801,1501.690673828125,20.0,1200
smit_10,1,301,1501.690673828125,0.5,3000
smit_10,3,301,1514.4653320312502,1.0,3000
smit_10,6,301,1514.4653320312502,2.0,3000
smit_10,15,301,1514.4653320312502,5.0,3000
smit_10,30,301,1514.4653320312502,10.0,3000
smit_10,60,301,1514.4653320312502,20.0,3000
smit_10,1,168,1501.690673828125,0.2,5000
smit_10,2,168,1623.0377197265625,0.5,5000
smit_10,5,168,1619.6289062500002,1.0,5000
smit_10,10,168,1619.6289062500002,2.0,5000
smit_10,25,168,1619.6289062500002,5.0,5000
smit_10,50,168,1619.6289062500002,10.0,5000
smit_10,100,168,1619.6289062500002,20.0,5000
smit_10,2,8,1159.1522216796873,0.1,25000
smit_10,5,8,999.0386962890627,0.2,25000
smit_10,12,8,1333.4716796875,0.5,25000
smit_10,25,8,1333.3465576171877,1.0,25000
smit_10,50,8,1333.3465576171877,2.0,25000
smit_10,125,8,1333.3465576171877,5.0,25000
smit_10,250,8,1333.3465576171877,10.0,25000
smit_10,500,8,1333.3465576171877,20.0,25000
