model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
briaire_05,12,3942,678.6682128906251,50.0,250
briaire_05,1,1942,678.6682128906251,2.0,500
briaire_05,25,1942,678.6682128906251,50.0,500
briaire_05,2,942,678.6682128906251,2.0,1000
briaire_05,50,942,678.6682128906251,50.0,1000
briaire_05,1,442,678.6682128906251,0.5,2000
briaire_05,4,442,678.6682128906251,2.0,2000
briaire_05,100,442,678.6682128906251,50.0,2000
briaire_05,1,275,678.6682128906251,0.5,3000
briaire_05,6,275,678.6682128906251,2.0,3000
briaire_05,150,275,678.6682128906251,50.0,3000
briaire_05,2,142,678.6590576171876,0.5,5000
briaire_05,10,142,678.6590576171876,2.0,5000
briaire_05,250,142,678.6590576171876,50.0,5000
briaire_05,5,42,668.4539794921876,0.5,10000
briaire_05,20,42,668.4539794921876,2.0,10000
briaire_05,500,42,668.4539794921876,50.0,10000
rattay_01,12,3942,866.7144775390624,50.0,250
rattay_01,1,1942,870.1171875,2.0,500
rattay_01,25,1942,870.1171875,50.0,500
rattay_01,2,942,870.1171875,2.0,1000
rattay_01,50,942,870.1171875,50.0,1000
rattay_01,1,442,870.1171875,0.5,2000
rattay_01,4,442,870.0805664062501,2.0,2000
rattay_01,100,442,870.0805664062501,50.0,2000
rattay_01,1,275,870.1171875,0.5,3000
rattay_01,6,275,868.9758300781249,2.0,3000
rattay_01,150,275,868.9758300781249,50.0,3000
rattay_01,2,142,822.5982666015625,0.5,5000
rattay_01,10,142,823.7701416015623,2.0,5000
rattay_01,250,142,823.7701416015623,50.0,5000
rattay_01,5,42,742.6208496093749,0.5,10000
rattay_01,20,42,766.83349609375,2.0,10000
rattay_01,500,42,766.83349609375,50.0,10000
smit_10,12,3942,709.8968505859375,50.0,250
smit_10,1,1942,709.8968505859375,2.0,500
smit_10,25,1942,709.8968505859375,50.0,500
smit_10,2,942,709.8968505859375,2.0,1000
smit_10,50,942,618.0786132812502,50.0,1000
smit_10,1,442,709.8968505859375,0.5,2000
smit_10,4,442,709.6740722656251,2.0,2000
smit_10,100,442,709.6740722656251,50.0,2000
smit_10,1,275,709.8968505859375,0.5,3000
smit_10,6,275,705.3863525390624,2.0,3000
smit_10,150,275,705.3863525390624,50.0,3000
smit_10,2,142,562.6312255859375,0.5,5000
smit_10,10,142,591.2994384765625,2.0,5000
smit_10,250,142,591.2994384765625,50.0,5000
smit_10,5,42,640.1947021484375,0.5,10000
smit_10,20,42,639.7369384765625,2.0,10000
smit_10,500,42,639.7369384765625,50.0,10000
