model,number of pulses,inter pulse gap (us),threshold (uA),pulse train durations (ms),pulses per second
smit_10,6,279,668.8415527343751,2.0,3000
smit_10,15,279,668.8415527343751,5.0,3000
smit_10,30,279,668.8415527343751,10.0,3000
smit_10,60,279,668.8415527343751,20.0,3000
smit_10,1,46,664.385986328125,0.1,10000
smit_10,2,46,569.1314697265625,0.2,10000
smit_10,4,46,710.3759765625,0.4,10000
smit_10,5,46,706.4239501953126,0.5,10000
smit_10,10,46,705.9326171875001,1.0,10000
smit_10,20,46,705.9326171875001,2.0,10000
smit_10,50,46,705.9326171875001,5.0,10000
smit_10,100,46,705.9326171875001,10.0,10000
smit_10,200,46,705.9326171875001,20.0,10000
