interpulse interval,minimum required amplitude,threshold
0.0006,0.0,3.100631713867188e-05
0.0006175,0.0,3.100631713867188e-05
0.000635,0.0,3.100631713867188e-05
0.0006525,0.0,3.100631713867188e-05
0.0006699999999999999,7.298331423662603e-05,3.100631713867188e-05
0.0006875,6.9785030791536e-05,3.100631713867188e-05
0.000705,6.727690947300291e-05,3.100631713867188e-05
0.0007225,6.502427233499474e-05,3.100631713867188e-05
0.00074,6.318620559177361e-05,3.100631713867188e-05
0.0007575,6.147647233738099e-05,3.100631713867188e-05
0.0007750000000000001,6.003937382192817e-05,3.100631713867188e-05
0.0007925,5.8742436766624456e-05,3.100631713867188e-05
0.0008100000000000001,5.749635998799933e-05,3.100631713867188e-05
0.0008275,5.635969194408973e-05,3.100631713867188e-05
0.0008449999999999999,5.537146494025365e-05,3.100631713867188e-05
0.0008625000000000001,5.44033454876626e-05,3.100631713867188e-05
0.00088,5.3553505748277534e-05,3.100631713867188e-05
0.0008975,5.2714311183081016e-05,3.100631713867188e-05
0.000915,5.197210598271341e-05,3.100631713867188e-05
0.0009325000000000001,5.123404057230801e-05,3.100631713867188e-05
0.00095,5.057817956258078e-05,3.100631713867188e-05
0.0009675,4.9922909951419574e-05,3.100631713867188e-05
0.000985,4.933742537104991e-05,3.100631713867188e-05
0.0010025,4.878151071898174e-05,3.100631713867188e-05
0.00102,4.8222639074083434e-05,3.100631713867188e-05
0.0010375,4.769215456035454e-05,3.100631713867188e-05
0.0010550000000000002,4.721489591756836e-05,3.100631713867188e-05
0.0010725,4.673290608625394e-05,3.100631713867188e-05
0.00109,4.629763674165589e-05,3.100631713867188e-05
0.0011075,4.5857044809963565e-05,3.100631713867188e-05
0.0011250000000000001,4.545844217645937e-05,3.100631713867188e-05
0.0011425,4.505392555729487e-05,3.100631713867188e-05
0.0011600000000000002,4.468725844635629e-05,3.100631713867188e-05
0.0011775,4.4314677349757415e-05,3.100631713867188e-05
0.001195,4.3975805971422236e-05,3.100631713867188e-05
0.0012125,4.364876256440767e-05,3.100631713867188e-05
0.00123,4.33158051717328e-05,3.100631713867188e-05
0.0012475000000000001,4.299526714894455e-05,3.100631713867188e-05
0.001265,4.2702524858759724e-05,3.100631713867188e-05
0.0012825000000000002,4.240327718434856e-05,3.100631713867188e-05
0.0013000000000000002,4.213064244540874e-05,3.100631713867188e-05
0.001494736842105263,3.95326285448391e-05,3.100631713867188e-05
0.0016894736842105265,3.7643701524939395e-05,3.100631713867188e-05
0.0018842105263157897,3.6200689023826275e-05,3.100631713867188e-05
0.0020789473684210526,3.5078214545501406e-05,3.100631713867188e-05
0.0022736842105263158,3.419111669645645e-05,3.100631713867188e-05
0.0024684210526315794,3.348616960574874e-05,3.100631713867188e-05
0.0026631578947368425,3.291665278666187e-05,3.100631713867188e-05
0.0028578947368421057,3.245713610085658e-05,3.100631713867188e-05
0.0030526315789473684,3.208514640282374e-05,3.100631713867188e-05
0.0032473684210526316,3.1784715931280527e-05,3.100631713867188e-05
0.003442105263157895,3.153987692494411e-05,3.100631713867188e-05
0.003636842105263158,3.134057560819202e-05,3.100631713867188e-05
0.0038315789473684215,3.117912379966583e-05,3.100631713867188e-05
0.004026315789473685,3.104783331800718e-05,3.100631713867188e-05
0.0042210526315789474,3.0940790177555764e-05,3.100631713867188e-05
0.0044157894736842115,3.085385458834935e-05,3.100631713867188e-05
0.004610526315789474,3.078288676042576e-05,3.100631713867188e-05
0.004805263157894738,3.072552109952085e-05,3.100631713867188e-05
0.005,3.067880061280447e-05,3.100631713867188e-05
