phase duration (us),pulse form,absolute refractory period (us),relative refractory period (ms)
40,monophasic,1297,2.301
50,monophasic,1304,2.327
100,monophasic,1312,2.49
50,biphasic,138.5,2.397
200,biphasic,0.6104,2.423
