phase duration (us),threshold (uA)
2. Hz,0.0
3. Hz,0.0
4. Hz,0.0
5. Hz,0.0
6. Hz,0.0
7. Hz,0.0
8. Hz,0.0
9. Hz,0.0
10. Hz,968.45703125
11. Hz,885.760498046875
12. Hz,816.522216796875
14. Hz,707.0373535156252
15. Hz,662.9821777343751
17. Hz,590.057373046875
19. Hz,532.1472167968751
22. Hz,464.63012695312506
24. Hz,428.826904296875
27. Hz,384.92431640625006
30. Hz,349.6887207031251
34. Hz,312.2985839843751
38. Hz,282.73315429687494
42. Hz,258.795166015625
48. Hz,230.38330078125
53. Hz,211.65771484375
60. Hz,190.74096679687503
67. Hz,174.26147460937506
75. Hz,159.27734375000003
84. Hz,145.91674804687503
94. Hz,134.16137695312497
105. Hz,123.91967773437503
118. Hz,114.385986328125
132. Hz,106.329345703125
147. Hz,99.51171875
165. Hz,93.09082031250001
185. Hz,87.567138671875
207. Hz,82.879638671875
232. Hz,78.80859375000001
260. Hz,75.390625
291. Hz,72.613525390625
0.326 kHz,70.39794921875
0.365 kHz,68.719482421875
0.408 kHz,67.49267578125
0.457 kHz,66.54052734375001
0.512 kHz,65.78979492187501
