phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us),jitter (us)
40,2.48,1*threshold,monophasic,94.9,224,659,884,313,45.2
40,4.95,2*threshold,monophasic,95.1,220,667,887,154,13.8
50,2.05,1*threshold,monophasic,95,223,660,883,322,35.2
50,4.11,2*threshold,monophasic,95.2,222,666,888,162,10.9
100,1.22,1*threshold,monophasic,94.9,224,658,882,359,59.6
100,2.45,2*threshold,monophasic,95.3,221,664,885,100,0
200,0.88,1*threshold,biphasic,94.6,220,661,880,472,42.4
200,1.76,2*threshold,biphasic,94.9,222,664,886,196,4.29
