phase duration (us),pulse form,absolute refractory period (us),relative refractory period (ms)
40,monophasic,2921,8.55
50,monophasic,2912,8.564
100,monophasic,2867,8.817
50,biphasic,5092,8.65
200,biphasic,2832,9.025
