phase duration (us),pulse form,absolute refractory period (us),relative refractory period (ms)
40,monophasic,640.9,2.042
50,monophasic,632.9,2.049
100,monophasic,595.7,2.153
50,biphasic,625.6,2.025
200,biphasic,318,1.475
