interpulse interval,minimum required amplitude,threshold
0.00062,0.0,1.153278350830078e-06
0.00062125,0.0,1.153278350830078e-06
0.0006225000000000001,0.0,1.153278350830078e-06
0.0006237500000000001,0.0,1.153278350830078e-06
0.000625,0.0,1.153278350830078e-06
0.00062625,0.0,1.153278350830078e-06
0.0006274999999999999,0.0,1.153278350830078e-06
0.0006287500000000001,1.4451174647547303e-06,1.153278350830078e-06
0.00063,1.4444135595113037e-06,1.153278350830078e-06
0.0008485000000000001,1.3233418576419351e-06,1.153278350830078e-06
0.001067,1.2649177224375303e-06,1.153278350830078e-06
0.0012855,1.2283146497793493e-06,1.153278350830078e-06
0.0015040000000000001,1.2043818715028465e-06,1.153278350830078e-06
0.0017225,1.1867842404171822e-06,1.153278350830078e-06
0.0019409999999999998,1.1741139460355041e-06,1.153278350830078e-06
0.0021595,1.1649631778709587e-06,1.153278350830078e-06
0.0023780000000000003,1.157924125436693e-06,1.153278350830078e-06
0.0025965,1.1522928834892806e-06,1.153278350830078e-06
0.002815,1.1473655467852948e-06,1.153278350830078e-06
0.0030335,1.1445499258115888e-06,1.153278350830078e-06
0.0032519999999999997,1.1417343048378824e-06,1.153278350830078e-06
0.0034705,1.1396225891076026e-06,1.153278350830078e-06
0.003689,1.137510873377323e-06,1.153278350830078e-06
0.0039074999999999995,1.13610306289047e-06,1.153278350830078e-06
0.004126,1.1353991576470434e-06,1.153278350830078e-06
0.0043445,1.1346952524036168e-06,1.153278350830078e-06
0.004563,1.1339913471601902e-06,1.153278350830078e-06
0.0047815,1.1332874419167635e-06,1.153278350830078e-06
