phase duration (us),stimulus amplitude (uA),amplitude level,pulse form,AP height (mV),rise time (us),fall time (us),AP duration (us),latency (us)
40,2.37,1*threshold,monophasic,125,26,356,382,106
40,4.75,2*threshold,monophasic,125,26,357,383,31
50,2.07,1*threshold,monophasic,125,26,356,382,117
50,4.14,2*threshold,monophasic,125,27,357,384,36
100,1.36,1*threshold,monophasic,125,27,356,383,167
100,2.72,2*threshold,monophasic,125,27,357,384,57
200,0.98,1*threshold,biphasic,125,26,356,382,222
200,1.97,2*threshold,biphasic,125,26,355,381,83
