interpulse interval,minimum required amplitude,threshold
0.00047,0.0,1.3585853576660154e-06
0.00047124999999999993,0.0,1.3585853576660154e-06
0.0004725,0.0,1.3585853576660154e-06
0.00047375,0.0,1.3585853576660154e-06
0.000475,4.165974631905555e-06,1.3585853576660154e-06
0.00047624999999999995,4.15436562616378e-06,1.3585853576660154e-06
0.0004775,4.1311476146802296e-06,1.3585853576660154e-06
0.00047875,4.1195386089384545e-06,1.3585853576660154e-06
0.00048,4.108758817892521e-06,1.3585853576660154e-06
0.0005020000000000001,3.906430432107298e-06,1.3585853576660154e-06
0.000524,3.7405874929390836e-06,1.3585853576660154e-06
0.000546,3.596304135862737e-06,1.3585853576660154e-06
0.0005679999999999999,3.467775858007371e-06,1.3585853576660154e-06
0.00059,3.3516858005896207e-06,1.3585853576660154e-06
0.000612,3.246375534217804e-06,1.3585853576660154e-06
0.000634,3.1501866295002395e-06,1.3585853576660154e-06
0.0006559999999999999,3.0622898717410857e-06,1.3585853576660154e-06
0.000678,2.9818560462445014e-06,1.3585853576660154e-06
0.0007,2.907226723618805e-06,1.3585853576660154e-06
0.001007142857142857,2.2504886845126747e-06,1.3585853576660154e-06
0.001314285714285714,1.9246073090471326e-06,1.3585853576660154e-06
0.0016214285714285712,1.7297418555244799e-06,1.3585853576660154e-06
0.0019285714285714284,1.6037012217566368e-06,1.3585853576660154e-06
0.0022357142857142858,1.5174628933891653e-06,1.3585853576660154e-06
0.0025428571428571427,1.458588649984449e-06,1.3585853576660154e-06
0.0028499999999999997,1.4171279151923954e-06,1.3585853576660154e-06
0.0031571428571428566,1.3872761861421167e-06,1.3585853576660154e-06
0.0034642857142857136,1.3665458187460898e-06,1.3585853576660154e-06
0.0037714285714285714,1.3507907395251094e-06,1.3585853576660154e-06
0.004078571428571429,1.3400109484791754e-06,1.3585853576660154e-06
0.004385714285714285,1.3325480162166057e-06,1.3585853576660154e-06
0.004692857142857142,1.3267435133457183e-06,1.3585853576660154e-06
0.005,1.3225974398665128e-06,1.3585853576660154e-06
