model_name,neuron_number,duration,spikes
briaire_05,129,0.11108,0.00228
briaire_05,129,0.11108,0.005304
briaire_05,129,0.11108,0.008303999999999999
briaire_05,129,0.11108,0.011304
briaire_05,129,0.11108,0.014303999999999999
briaire_05,129,0.11108,0.017304
briaire_05,129,0.11108,0.020304
briaire_05,129,0.11108,0.023304
briaire_05,129,0.11108,0.026303999999999998
briaire_05,129,0.11108,0.029304
briaire_05,129,0.11108,0.032304
briaire_05,129,0.11108,0.035303999999999995
briaire_05,129,0.11108,0.038304
briaire_05,129,0.11108,0.041304
briaire_05,129,0.11108,0.044303999999999996
briaire_05,129,0.11108,0.047304
briaire_05,129,0.11108,0.050303999999999995
briaire_05,129,0.11108,0.053304
briaire_05,129,0.11108,0.056304
briaire_05,129,0.11108,0.059303999999999996
briaire_05,129,0.11108,0.062304
briaire_05,129,0.11108,0.065304
briaire_05,129,0.11108,0.068304
briaire_05,129,0.11108,0.07130399999999999
briaire_05,129,0.11108,0.074304
briaire_05,129,0.11108,0.077304
briaire_05,129,0.11108,0.080304
briaire_05,129,0.11108,0.083304
briaire_05,129,0.11108,0.08630399999999999
briaire_05,129,0.11108,0.089304
briaire_05,129,0.11108,0.092304
briaire_05,129,0.11108,0.095304
briaire_05,129,0.11108,0.098304
briaire_05,129,0.11108,0.10130399999999999
briaire_05,130,0.11108,0.002265
briaire_05,130,0.11108,0.004291
briaire_05,130,0.11108,0.006287999999999999
briaire_05,130,0.11108,0.008288
briaire_05,130,0.11108,0.010288
briaire_05,130,0.11108,0.012288
briaire_05,130,0.11108,0.014287999999999999
briaire_05,130,0.11108,0.016288
briaire_05,130,0.11108,0.018288
briaire_05,130,0.11108,0.020288
briaire_05,130,0.11108,0.022288
briaire_05,130,0.11108,0.024288
briaire_05,130,0.11108,0.026288
briaire_05,130,0.11108,0.028287999999999997
briaire_05,130,0.11108,0.030288
briaire_05,130,0.11108,0.032288
briaire_05,130,0.11108,0.034288
briaire_05,130,0.11108,0.036288
briaire_05,130,0.11108,0.038287999999999996
briaire_05,130,0.11108,0.040288
briaire_05,130,0.11108,0.042288
briaire_05,130,0.11108,0.044288
briaire_05,130,0.11108,0.046287999999999996
briaire_05,130,0.11108,0.048288
briaire_05,130,0.11108,0.050288
briaire_05,130,0.11108,0.052287999999999994
briaire_05,130,0.11108,0.054287999999999996
briaire_05,130,0.11108,0.056288
briaire_05,130,0.11108,0.058288
briaire_05,130,0.11108,0.060287999999999994
briaire_05,130,0.11108,0.062287999999999996
briaire_05,130,0.11108,0.064288
briaire_05,130,0.11108,0.066288
briaire_05,130,0.11108,0.068288
briaire_05,130,0.11108,0.070288
briaire_05,130,0.11108,0.07228799999999999
briaire_05,130,0.11108,0.07428799999999999
briaire_05,130,0.11108,0.076288
briaire_05,130,0.11108,0.078288
briaire_05,130,0.11108,0.080288
briaire_05,130,0.11108,0.082288
briaire_05,130,0.11108,0.084288
briaire_05,130,0.11108,0.08628799999999999
briaire_05,130,0.11108,0.08828799999999999
briaire_05,130,0.11108,0.090288
briaire_05,130,0.11108,0.092288
briaire_05,130,0.11108,0.094288
briaire_05,130,0.11108,0.096288
briaire_05,130,0.11108,0.098288
briaire_05,130,0.11108,0.100288
briaire_05,131,0.11108,0.0022719999999999997
briaire_05,131,0.11108,0.004307
briaire_05,131,0.11108,0.006303
briaire_05,131,0.11108,0.008303999999999999
briaire_05,131,0.11108,0.010303999999999999
briaire_05,131,0.11108,0.012303999999999999
briaire_05,131,0.11108,0.014303999999999999
briaire_05,131,0.11108,0.016304
briaire_05,131,0.11108,0.018304
briaire_05,131,0.11108,0.020304
briaire_05,131,0.11108,0.022303999999999997
briaire_05,131,0.11108,0.024304
briaire_05,131,0.11108,0.026303999999999998
briaire_05,131,0.11108,0.028304
briaire_05,131,0.11108,0.030303999999999998
briaire_05,131,0.11108,0.032304
briaire_05,131,0.11108,0.034304
briaire_05,131,0.11108,0.036303999999999996
briaire_05,131,0.11108,0.038304
briaire_05,131,0.11108,0.040304
briaire_05,131,0.11108,0.042304
briaire_05,131,0.11108,0.044303999999999996
briaire_05,131,0.11108,0.046304
briaire_05,131,0.11108,0.048304
briaire_05,131,0.11108,0.050303999999999995
briaire_05,131,0.11108,0.052303999999999996
briaire_05,131,0.11108,0.054304
briaire_05,131,0.11108,0.056304
briaire_05,131,0.11108,0.058303999999999995
briaire_05,131,0.11108,0.060303999999999996
briaire_05,131,0.11108,0.062304
briaire_05,131,0.11108,0.064304
briaire_05,131,0.11108,0.066304
briaire_05,131,0.11108,0.068304
briaire_05,131,0.11108,0.07030399999999999
briaire_05,131,0.11108,0.072304
briaire_05,131,0.11108,0.074304
briaire_05,131,0.11108,0.076304
briaire_05,131,0.11108,0.078304
briaire_05,131,0.11108,0.080304
briaire_05,131,0.11108,0.082304
briaire_05,131,0.11108,0.08430399999999999
briaire_05,131,0.11108,0.08630399999999999
briaire_05,131,0.11108,0.088304
briaire_05,131,0.11108,0.090304
