model_name,neuron_number,duration,spikes,nof_pulses
briaire_05,154,0.10207999999999999,0.00225,10
briaire_05,154,0.10207999999999999,0.012249999999999999,10
briaire_05,154,0.10207999999999999,0.02225,10
briaire_05,154,0.10207999999999999,0.032249999999999994,10
briaire_05,154,0.10207999999999999,0.042249999999999996,10
briaire_05,154,0.10207999999999999,0.05225,10
briaire_05,154,0.10207999999999999,0.06224999999999999,10
briaire_05,154,0.10207999999999999,0.07225,10
briaire_05,154,0.10207999999999999,0.08224999999999999,10
briaire_05,154,0.10207999999999999,0.09225,10
briaire_05,156,0.10207999999999999,0.00225,10
briaire_05,156,0.10207999999999999,0.012249999999999999,10
briaire_05,156,0.10207999999999999,0.02225,10
briaire_05,156,0.10207999999999999,0.032249999999999994,10
briaire_05,156,0.10207999999999999,0.042249999999999996,10
briaire_05,156,0.10207999999999999,0.05225,10
briaire_05,156,0.10207999999999999,0.06224999999999999,10
briaire_05,156,0.10207999999999999,0.07225,10
briaire_05,156,0.10207999999999999,0.08224999999999999,10
briaire_05,156,0.10207999999999999,0.09225,10
briaire_05,157,0.10207999999999999,0.00225,10
briaire_05,157,0.10207999999999999,0.012249999999999999,10
briaire_05,157,0.10207999999999999,0.02225,10
briaire_05,157,0.10207999999999999,0.032249999999999994,10
briaire_05,157,0.10207999999999999,0.042249999999999996,10
briaire_05,157,0.10207999999999999,0.05225,10
briaire_05,157,0.10207999999999999,0.06224999999999999,10
briaire_05,157,0.10207999999999999,0.07225,10
briaire_05,157,0.10207999999999999,0.08224999999999999,10
briaire_05,157,0.10207999999999999,0.09225,10
briaire_05,158,0.10207999999999999,0.0022449999999999996,10
briaire_05,158,0.10207999999999999,0.012244999999999999,10
briaire_05,158,0.10207999999999999,0.022244999999999997,10
briaire_05,158,0.10207999999999999,0.032244999999999996,10
briaire_05,158,0.10207999999999999,0.042245,10
briaire_05,158,0.10207999999999999,0.05224499999999999,10
briaire_05,158,0.10207999999999999,0.062244999999999995,10
briaire_05,158,0.10207999999999999,0.07224499999999999,10
briaire_05,158,0.10207999999999999,0.082245,10
briaire_05,158,0.10207999999999999,0.092245,10
briaire_05,159,0.10207999999999999,0.00225,10
briaire_05,159,0.10207999999999999,0.012249999999999999,10
briaire_05,159,0.10207999999999999,0.02225,10
briaire_05,159,0.10207999999999999,0.032249999999999994,10
briaire_05,159,0.10207999999999999,0.042249999999999996,10
briaire_05,159,0.10207999999999999,0.05225,10
briaire_05,159,0.10207999999999999,0.06224999999999999,10
briaire_05,159,0.10207999999999999,0.07225,10
briaire_05,159,0.10207999999999999,0.08224999999999999,10
briaire_05,159,0.10207999999999999,0.09225,10
briaire_05,170,0.10207999999999999,0.002235,10
briaire_05,170,0.10207999999999999,0.012235,10
briaire_05,170,0.10207999999999999,0.022234999999999998,10
briaire_05,170,0.10207999999999999,0.032235,10
briaire_05,170,0.10207999999999999,0.042234999999999995,10
briaire_05,170,0.10207999999999999,0.052235,10
briaire_05,170,0.10207999999999999,0.06223499999999999,10
briaire_05,170,0.10207999999999999,0.072235,10
briaire_05,170,0.10207999999999999,0.08223499999999999,10
briaire_05,170,0.10207999999999999,0.092235,10
briaire_05,171,0.10207999999999999,0.002235,10
briaire_05,171,0.10207999999999999,0.012235,10
briaire_05,171,0.10207999999999999,0.022234999999999998,10
briaire_05,171,0.10207999999999999,0.032235,10
briaire_05,171,0.10207999999999999,0.042234999999999995,10
briaire_05,171,0.10207999999999999,0.052235,10
briaire_05,171,0.10207999999999999,0.06223499999999999,10
briaire_05,171,0.10207999999999999,0.072235,10
briaire_05,171,0.10207999999999999,0.08223499999999999,10
briaire_05,171,0.10207999999999999,0.092235,10
briaire_05,172,0.10207999999999999,0.002225,10
briaire_05,172,0.10207999999999999,0.012225,10
briaire_05,172,0.10207999999999999,0.022224999999999998,10
briaire_05,172,0.10207999999999999,0.032225,10
briaire_05,172,0.10207999999999999,0.042225,10
briaire_05,172,0.10207999999999999,0.052224999999999994,10
briaire_05,172,0.10207999999999999,0.062224999999999996,10
briaire_05,172,0.10207999999999999,0.072225,10
briaire_05,172,0.10207999999999999,0.08222499999999999,10
briaire_05,172,0.10207999999999999,0.09222499999999999,10
briaire_05,173,0.10207999999999999,0.00225,10
briaire_05,173,0.10207999999999999,0.012249999999999999,10
briaire_05,173,0.10207999999999999,0.02225,10
briaire_05,173,0.10207999999999999,0.032249999999999994,10
briaire_05,173,0.10207999999999999,0.042249999999999996,10
briaire_05,173,0.10207999999999999,0.05225,10
briaire_05,173,0.10207999999999999,0.06224999999999999,10
briaire_05,173,0.10207999999999999,0.07225,10
briaire_05,173,0.10207999999999999,0.08224999999999999,10
briaire_05,173,0.10207999999999999,0.09225,10
briaire_05,174,0.10207999999999999,0.0022649999999999997,10
briaire_05,174,0.10207999999999999,0.012264999999999998,10
briaire_05,174,0.10207999999999999,0.022264999999999997,10
briaire_05,174,0.10207999999999999,0.032264999999999995,10
briaire_05,174,0.10207999999999999,0.042265,10
briaire_05,174,0.10207999999999999,0.05226499999999999,10
briaire_05,174,0.10207999999999999,0.062264999999999994,10
briaire_05,174,0.10207999999999999,0.072265,10
briaire_05,174,0.10207999999999999,0.08226499999999999,10
briaire_05,174,0.10207999999999999,0.09226499999999999,10
briaire_05,175,0.10207999999999999,0.0022549999999999996,10
briaire_05,175,0.10207999999999999,0.012254999999999999,10
briaire_05,175,0.10207999999999999,0.022254999999999997,10
briaire_05,175,0.10207999999999999,0.032255,10
briaire_05,175,0.10207999999999999,0.042254999999999994,10
briaire_05,175,0.10207999999999999,0.052254999999999996,10
briaire_05,175,0.10207999999999999,0.062255,10
