model_name,neuron_number,duration,spikes,nof_pulses
briaire_05,187,0.11108,0.0025299999999999997,100
briaire_05,187,0.11108,0.005619999999999999,100
briaire_05,187,0.11108,0.008629999999999999,100
briaire_05,187,0.11108,0.011614999999999999,100
briaire_05,187,0.11108,0.014634999999999999,100
briaire_05,187,0.11108,0.017615,100
briaire_05,187,0.11108,0.020634999999999997,100
briaire_05,187,0.11108,0.023614999999999997,100
briaire_05,187,0.11108,0.026635,100
briaire_05,187,0.11108,0.029615,100
briaire_05,187,0.11108,0.032635,100
briaire_05,187,0.11108,0.035614999999999994,100
briaire_05,187,0.11108,0.038634999999999996,100
briaire_05,187,0.11108,0.041615,100
briaire_05,187,0.11108,0.044634999999999994,100
briaire_05,187,0.11108,0.047615,100
briaire_05,187,0.11108,0.05063499999999999,100
briaire_05,187,0.11108,0.053614999999999996,100
briaire_05,187,0.11108,0.056635,100
briaire_05,187,0.11108,0.059614999999999994,100
briaire_05,187,0.11108,0.062635,100
briaire_05,187,0.11108,0.06561499999999999,100
briaire_05,187,0.11108,0.06863499999999999,100
briaire_05,187,0.11108,0.071615,100
briaire_05,187,0.11108,0.07463499999999999,100
briaire_05,187,0.11108,0.07761499999999999,100
briaire_05,187,0.11108,0.080635,100
briaire_05,187,0.11108,0.083615,100
briaire_05,187,0.11108,0.08663499999999999,100
briaire_05,187,0.11108,0.08961499999999999,100
briaire_05,187,0.11108,0.092635,100
briaire_05,187,0.11108,0.09561499999999999,100
briaire_05,187,0.11108,0.09863499999999999,100
briaire_05,187,0.11108,0.101615,100
briaire_05,188,0.11108,0.0025299999999999997,100
briaire_05,188,0.11108,0.004614999999999999,100
briaire_05,188,0.11108,0.0066099999999999996,100
briaire_05,188,0.11108,0.00861,100
briaire_05,188,0.11108,0.01061,100
briaire_05,188,0.11108,0.01261,100
briaire_05,188,0.11108,0.014609999999999998,100
briaire_05,188,0.11108,0.01661,100
briaire_05,188,0.11108,0.018609999999999998,100
briaire_05,188,0.11108,0.02061,100
briaire_05,188,0.11108,0.022609999999999998,100
briaire_05,188,0.11108,0.024609999999999996,100
briaire_05,188,0.11108,0.026609999999999998,100
briaire_05,188,0.11108,0.028609999999999997,100
briaire_05,188,0.11108,0.03061,100
briaire_05,188,0.11108,0.03261,100
briaire_05,188,0.11108,0.034609999999999995,100
briaire_05,188,0.11108,0.03661,100
briaire_05,188,0.11108,0.03861,100
briaire_05,188,0.11108,0.04060999999999999,100
briaire_05,188,0.11108,0.042609999999999995,100
briaire_05,188,0.11108,0.04461,100
briaire_05,188,0.11108,0.04661,100
briaire_05,188,0.11108,0.048609999999999993,100
briaire_05,188,0.11108,0.050609999999999995,100
briaire_05,188,0.11108,0.05261,100
briaire_05,188,0.11108,0.05460999999999999,100
briaire_05,188,0.11108,0.056609999999999994,100
briaire_05,188,0.11108,0.058609999999999995,100
briaire_05,188,0.11108,0.06061,100
briaire_05,188,0.11108,0.06261,100
briaire_05,188,0.11108,0.06461,100
briaire_05,188,0.11108,0.06660999999999999,100
briaire_05,188,0.11108,0.06860999999999999,100
briaire_05,188,0.11108,0.07060999999999999,100
briaire_05,188,0.11108,0.07261,100
briaire_05,188,0.11108,0.07461,100
briaire_05,188,0.11108,0.07661,100
briaire_05,188,0.11108,0.07861,100
briaire_05,188,0.11108,0.08060999999999999,100
briaire_05,188,0.11108,0.08260999999999999,100
briaire_05,188,0.11108,0.08460999999999999,100
briaire_05,188,0.11108,0.08660999999999999,100
briaire_05,188,0.11108,0.08861,100
briaire_05,188,0.11108,0.09061,100
briaire_05,188,0.11108,0.09261,100
briaire_05,188,0.11108,0.09460999999999999,100
briaire_05,188,0.11108,0.09660999999999999,100
briaire_05,188,0.11108,0.09860999999999999,100
briaire_05,188,0.11108,0.10060999999999999,100
briaire_05,189,0.11108,0.0025299999999999997,100
briaire_05,189,0.11108,0.005599999999999999,100
briaire_05,189,0.11108,0.008605,100
briaire_05,189,0.11108,0.0116,100
briaire_05,189,0.11108,0.014604999999999998,100
briaire_05,189,0.11108,0.017599999999999998,100
briaire_05,189,0.11108,0.020605,100
briaire_05,189,0.11108,0.0236,100
briaire_05,189,0.11108,0.026604999999999997,100
briaire_05,189,0.11108,0.029599999999999998,100
briaire_05,189,0.11108,0.032604999999999995,100
briaire_05,189,0.11108,0.0356,100
