stimulation info,run,time / ms,membrane potential / mV
40 us; monophasic; threshold,0.0,0.0,-65.0
40 us; monophasic; threshold,1.0,0.0,-65.0
40 us; monophasic; threshold,2.0,0.0,-65.0
40 us; monophasic; threshold,3.0,0.0,-65.0
40 us; monophasic; threshold,4.0,0.0,-65.0
40 us; monophasic; threshold,5.0,0.0,-65.0
40 us; monophasic; threshold,6.0,0.0,-65.0
40 us; monophasic; threshold,7.0,0.0,-65.0
40 us; monophasic; threshold,8.0,0.0,-65.0
40 us; monophasic; threshold,9.0,0.0,-65.0
40 us; monophasic; threshold,0.0,0.004999999999999999,-64.95050957811155
40 us; monophasic; threshold,1.0,0.004999999999999999,-65.08876497073794
40 us; monophasic; threshold,2.0,0.004999999999999999,-65.09041706108049
40 us; monophasic; threshold,3.0,0.004999999999999999,-64.88645208625827
40 us; monophasic; threshold,4.0,0.004999999999999999,-65.09513927464435
40 us; monophasic; threshold,5.0,0.004999999999999999,-65.03075917513499
40 us; monophasic; threshold,6.0,0.004999999999999999,-65.04244388150805
40 us; monophasic; threshold,7.0,0.004999999999999999,-64.67262572350181
40 us; monophasic; threshold,8.0,0.004999999999999999,-64.82410022718989
40 us; monophasic; threshold,9.0,0.004999999999999999,-64.81346415787947
40 us; monophasic; threshold,0.0,0.009999999999999998,-65.15612055455556
40 us; monophasic; threshold,1.0,0.009999999999999998,-64.84010616841385
40 us; monophasic; threshold,2.0,0.009999999999999998,-65.104315587342
40 us; monophasic; threshold,3.0,0.009999999999999998,-64.99889608055642
40 us; monophasic; threshold,4.0,0.009999999999999998,-65.02926988150773
40 us; monophasic; threshold,5.0,0.009999999999999998,-65.11441255184505
40 us; monophasic; threshold,6.0,0.009999999999999998,-64.84661110405868
40 us; monophasic; threshold,7.0,0.009999999999999998,-64.68120248047337
40 us; monophasic; threshold,8.0,0.009999999999999998,-64.61910755354575
40 us; monophasic; threshold,9.0,0.009999999999999998,-64.7340260964975
40 us; monophasic; threshold,0.0,0.014999999999999998,-65.26233276861885
40 us; monophasic; threshold,1.0,0.014999999999999998,-64.81659375499967
40 us; monophasic; threshold,2.0,0.014999999999999998,-65.26853132354155
40 us; monophasic; threshold,3.0,0.014999999999999998,-65.30105964259316
40 us; monophasic; threshold,4.0,0.014999999999999998,-65.0537435848861
40 us; monophasic; threshold,5.0,0.014999999999999998,-65.17056065957597
40 us; monophasic; threshold,6.0,0.014999999999999998,-64.79992636031605
40 us; monophasic; threshold,7.0,0.014999999999999998,-64.91697913313077
40 us; monophasic; threshold,8.0,0.014999999999999998,-64.7374161457454
40 us; monophasic; threshold,9.0,0.014999999999999998,-64.62408535301452
40 us; monophasic; threshold,0.0,0.019999999999999997,-65.37603335653445
40 us; monophasic; threshold,1.0,0.019999999999999997,-64.69535495599207
40 us; monophasic; threshold,2.0,0.019999999999999997,-65.3409020352792
40 us; monophasic; threshold,3.0,0.019999999999999997,-65.58076349300202
40 us; monophasic; threshold,4.0,0.019999999999999997,-64.97864766689273
40 us; monophasic; threshold,5.0,0.019999999999999997,-65.31626668977033
40 us; monophasic; threshold,6.0,0.019999999999999997,-64.81957925234693
40 us; monophasic; threshold,7.0,0.019999999999999997,-64.80835961785156
40 us; monophasic; threshold,8.0,0.019999999999999997,-65.07280906722758
40 us; monophasic; threshold,9.0,0.019999999999999997,-64.32925266364802
40 us; monophasic; threshold,0.0,0.024999999999999998,-65.07437007983381
40 us; monophasic; threshold,1.0,0.024999999999999998,-64.67147870092731
40 us; monophasic; threshold,2.0,0.024999999999999998,-65.17240898270335
40 us; monophasic; threshold,3.0,0.024999999999999998,-65.84937352948786
40 us; monophasic; threshold,4.0,0.024999999999999998,-64.96402749356268
40 us; monophasic; threshold,5.0,0.024999999999999998,-65.48383453744638
40 us; monophasic; threshold,6.0,0.024999999999999998,-64.94222115821938
40 us; monophasic; threshold,7.0,0.024999999999999998,-64.74804432071845
40 us; monophasic; threshold,8.0,0.024999999999999998,-65.07948150592678
40 us; monophasic; threshold,9.0,0.024999999999999998,-64.05764847764279
40 us; monophasic; threshold,0.0,0.029999999999999995,-65.1955147603963
40 us; monophasic; threshold,1.0,0.029999999999999995,-64.77063152863894
40 us; monophasic; threshold,2.0,0.029999999999999995,-65.2453634389622
40 us; monophasic; threshold,3.0,0.029999999999999995,-66.24451832953763
40 us; monophasic; threshold,4.0,0.029999999999999995,-65.24013865528768
40 us; monophasic; threshold,5.0,0.029999999999999995,-65.40514308096714
40 us; monophasic; threshold,6.0,0.029999999999999995,-65.12096211935484
40 us; monophasic; threshold,7.0,0.029999999999999995,-64.63540449068657
40 us; monophasic; threshold,8.0,0.029999999999999995,-64.98299043218022
40 us; monophasic; threshold,9.0,0.029999999999999995,-63.830231525269674
40 us; monophasic; threshold,0.0,0.034999999999999996,-64.9830206378205
40 us; monophasic; threshold,1.0,0.034999999999999996,-64.61303430514072
40 us; monophasic; threshold,2.0,0.034999999999999996,-65.04780073835335
40 us; monophasic; threshold,3.0,0.034999999999999996,-66.27359154164152
40 us; monophasic; threshold,4.0,0.034999999999999996,-65.28493944578214
40 us; monophasic; threshold,5.0,0.034999999999999996,-65.29396183041752
40 us; monophasic; threshold,6.0,0.034999999999999996,-64.77180816078693
40 us; monophasic; threshold,7.0,0.034999999999999996,-64.53739304194256
40 us; monophasic; threshold,8.0,0.034999999999999996,-64.82054580447092
40 us; monophasic; threshold,9.0,0.034999999999999996,-63.644912178845395
40 us; monophasic; threshold,0.0,0.039999999999999994,-64.92013970481989
40 us; monophasic; threshold,1.0,0.039999999999999994,-64.33049710089331
40 us; monophasic; threshold,2.0,0.039999999999999994,-65.16797690901117
