interpulse interval,minimum required amplitude,threshold
0.001,3.3627105876803402e-06,4.454612731933594e-07
0.001010875,2.7411746559664614e-06,4.454612731933594e-07
0.0010217499999999999,2.3681443417444827e-06,4.454612731933594e-07
0.001032625,2.164228353649378e-06,4.454612731933594e-07
0.0010435000000000002,2.0609109196811915e-06,4.454612731933594e-07
0.0010543750000000002,2.021215273998678e-06,4.454612731933594e-07
0.00106525,2.017952618189156e-06,4.454612731933594e-07
0.001076125,2.0467727445065975e-06,4.454612731933594e-07
0.001087,2.1016941173002125e-06,4.454612731933594e-07
0.001097875,2.179997856728733e-06,4.454612731933594e-07
0.0011087500000000001,2.2816839627921585e-06,4.454612731933594e-07
0.0011196250000000002,2.405664883553982e-06,4.454612731933594e-07
0.0011305,2.538889995776117e-06,4.454612731933594e-07
0.001141375,2.7085480978712444e-06,4.454612731933594e-07
0.00115225,2.9037636704742908e-06,4.454612731933594e-07
0.001163125,3.126168041490019e-06,4.454612731933594e-07
0.001174,3.3763049868866803e-06,4.454612731933594e-07
0.001184875,3.656349610537291e-06,4.454612731933594e-07
0.0011957500000000002,3.966845688410104e-06,4.454612731933594e-07
0.001206625,4.309424548409878e-06,4.454612731933594e-07
0.0012175,0.0,4.454612731933594e-07
0.001228375,0.0,4.454612731933594e-07
0.00123925,0.0,4.454612731933594e-07
0.0012501250000000002,0.0,4.454612731933594e-07
0.0012610000000000002,0.0,4.454612731933594e-07
0.0012718750000000002,0.0,4.454612731933594e-07
0.00128275,0.0,4.454612731933594e-07
0.001293625,0.0,4.454612731933594e-07
0.0013045,0.0,4.454612731933594e-07
0.001315375,0.0,4.454612731933594e-07
0.00132625,0.0,4.454612731933594e-07
0.001337125,0.0,4.454612731933594e-07
0.001348,0.0,4.454612731933594e-07
0.001358875,0.0,4.454612731933594e-07
0.00136975,0.0,4.454612731933594e-07
0.0013806250000000001,0.0,4.454612731933594e-07
0.0013915,0.0,4.454612731933594e-07
0.0014023750000000002,0.0,4.454612731933594e-07
0.0014132500000000002,0.0,4.454612731933594e-07
0.001424125,0.0,4.454612731933594e-07
0.001435,0.0,4.454612731933594e-07
0.0014458750000000001,0.0,4.454612731933594e-07
0.00145675,0.0,4.454612731933594e-07
0.001467625,0.0,4.454612731933594e-07
0.0014785,0.0,4.454612731933594e-07
0.0014893750000000002,0.0,4.454612731933594e-07
0.00150025,0.0,4.454612731933594e-07
0.001511125,0.0,4.454612731933594e-07
0.0015220000000000001,0.0,4.454612731933594e-07
0.0015328750000000002,0.0,4.454612731933594e-07
0.0015437500000000002,0.0,4.454612731933594e-07
0.0015546250000000002,0.0,4.454612731933594e-07
0.0015655,0.0,4.454612731933594e-07
0.001576375,0.0,4.454612731933594e-07
0.0015872500000000001,0.0,4.454612731933594e-07
0.0015981250000000002,0.0,4.454612731933594e-07
0.001609,0.0,4.454612731933594e-07
0.001619875,0.0,4.454612731933594e-07
0.00163075,0.0,4.454612731933594e-07
0.001641625,0.0,4.454612731933594e-07
0.0016525,0.0,4.454612731933594e-07
0.0016633750000000001,0.0,4.454612731933594e-07
0.00167425,0.0,4.454612731933594e-07
0.0016851250000000002,0.0,4.454612731933594e-07
0.0016960000000000002,0.0,4.454612731933594e-07
0.0017068750000000003,0.0,4.454612731933594e-07
0.00171775,0.0,4.454612731933594e-07
0.0017286250000000001,0.0,4.454612731933594e-07
0.0017395000000000002,0.0,4.454612731933594e-07
0.001750375,0.0,4.454612731933594e-07
0.00176125,0.0,4.454612731933594e-07
0.001772125,0.0,4.454612731933594e-07
0.0017829999999999999,0.0,4.454612731933594e-07
0.0017938750000000001,0.0,4.454612731933594e-07
0.0018047500000000001,4.43884322885424e-06,4.454612731933594e-07
0.0018156250000000002,3.910836763679982e-06,4.454612731933594e-07
0.0018265000000000002,3.3659732434898617e-06,4.454612731933594e-07
0.0018373750000000002,2.8374230023473504e-06,4.454612731933594e-07
0.0018482500000000003,2.1451961947605015e-06,4.454612731933594e-07
0.001859125,4.812417319044472e-07,4.454612731933594e-07
0.0018700000000000001,4.812417319044472e-07,4.454612731933594e-07
0.002093571428571429,4.7036621253937493e-07,4.454612731933594e-07
0.002317142857142857,4.4698384590446953e-07,4.454612731933594e-07
0.002540714285714286,4.284954629838467e-07,4.454612731933594e-07
0.0027642857142857143,4.208825994282961e-07,4.454612731933594e-07
0.0029878571428571432,4.230577033013106e-07,4.454612731933594e-07
0.0032114285714285717,4.295830149203539e-07,4.454612731933594e-07
0.003435,4.3665210250765086e-07,4.454612731933594e-07
0.0036585714285714286,4.4154608622193335e-07,4.454612731933594e-07
0.003882142857142857,4.431774141266942e-07,4.454612731933594e-07
0.004105714285714286,4.431774141266942e-07,4.454612731933594e-07
0.0043292857142857135,4.42089862190187e-07,4.454612731933594e-07
0.004552857142857142,4.4100231025367976e-07,4.454612731933594e-07
0.004776428571428571,4.4045853428542617e-07,4.454612731933594e-07
0.005,4.399147583171725e-07,4.454612731933594e-07
