phase duration (us),pulse form,stimulus amplitude level,AP height (mV),rise time (ms),fall time (ms),AP duration (ms),latency (ms),jitter (ms)
40.0,monophasic,threshold,86.6,0.112,0.193,0.305,0.399,0.118
40.0,monophasic,2*threshold,87.1,0.111,0.193,0.305,0.0942,0.00245
50.0,monophasic,threshold,86.8,0.111,0.193,0.304,0.397,0.11
50.0,monophasic,2*threshold,87,0.112,0.193,0.304,0.101,0.00275
100.0,monophasic,threshold,86.7,0.113,0.193,0.305,0.447,0.132
100.0,monophasic,2*threshold,86.9,0.112,0.192,0.305,0.131,0.00262
200.0,biphasic,threshold,86.6,0.112,0.194,0.305,0.441,0.115
200.0,biphasic,2*threshold,87.1,0.111,0.193,0.305,0.173,0.00523
